rubro,nomrub,codigo,nombre
0,,0,Art. Inexistente
0,,64,COMENSALES
0,,71,ENVIO
0,,712,ENVIO ZONA SUR 2
0,,713,ENVIO ZONA 3
1,ROLLS&MAKIS 9U,1,Chimbote Roll
1,ROLLS&MAKIS 9U,2,Tandori Roll
1,ROLLS&MAKIS 9U,3,Sake Roll
1,ROLLS&MAKIS 9U,4,Salm칩n Slow Roll
1,ROLLS&MAKIS 9U,5,Salm칩n Smoke Roll
1,ROLLS&MAKIS 9U,6,Dinamita Wappo Roll
1,ROLLS&MAKIS 9U,7,Good Roll
1,ROLLS&MAKIS 9U,8,Green Roll
1,ROLLS&MAKIS 9U,9,N.Y Cheese Roll
1,ROLLS&MAKIS 9U,10,Maki Wappo
1,ROLLS&MAKIS 9U,11,Smoke Nikkei Roll
1,ROLLS&MAKIS 9U,12,Tsunami Roll
1,ROLLS&MAKIS 9U,13,Pipamon Roll
1,ROLLS&MAKIS 9U,14,Crack ! Roll
1,ROLLS&MAKIS 9U,15,Coconut Rol
1,ROLLS&MAKIS 9U,16,Wappo New York Roll
1,ROLLS&MAKIS 9U,17,Citric Roll
1,ROLLS&MAKIS 9U,18,Golden Roll
1,ROLLS&MAKIS 9U,19,Deluxe Roll
1,ROLLS&MAKIS 9U,20,Ceviche Roll
1,ROLLS&MAKIS 9U,21,M치ncora Roll
1,ROLLS&MAKIS 9U,22,Shrimp Purple Onion  Roll
1,ROLLS&MAKIS 9U,23,Tropical Roll
1,ROLLS&MAKIS 9U,24,Suspiro Roll
1,ROLLS&MAKIS 9U,72,Mango's
1,ROLLS&MAKIS 9U,74,Niguiri Parmesano
1,ROLLS&MAKIS 9U,75,Pax
1,ROLLS&MAKIS 9U,76,Pal
1,ROLLS&MAKIS 9U,80,Fruti Crunch
1,ROLLS&MAKIS 9U,81,Frutilla Flame
1,ROLLS&MAKIS 9U,711,Roll Parmesano
2,NIGUIRIS 4U,25,Niguiri Salmon
2,NIGUIRIS 4U,26,Niguiri Salmon Ahumado
2,NIGUIRIS 4U,27,Salmon Citric
2,NIGUIRIS 4U,28,Pistache
2,NIGUIRIS 4U,29,Nikkei
2,NIGUIRIS 4U,30,Teriflam
2,NIGUIRIS 4U,73,Niguiri Anticuchero
3,GEISHAS 4U,31,Geisha Salm칩n + Phila
3,GEISHAS 4U,32,Geisha Salmon Ahumado
3,GEISHAS 4U,33,Geishas Aguacate Shrimp
3,GEISHAS 4U,34,Golden Geisha
4,HOT ROLLS 9U,35,Alcapone
4,HOT ROLLS 9U,36,Hot Spicy Roll
5,ROLLS VEGGIE 9U,37,Palmi Roll
5,ROLLS VEGGIE 9U,38,Roll Aguacate
5,ROLLS VEGGIE 9U,39,Free Roll
5,ROLLS VEGGIE 9U,40,Ring Ring Roll
5,ROLLS VEGGIE 9U,41,Togamate Roll
6,WAPPO,42,Combo WAPPO M.18
6,WAPPO,43,Combo WAPPO L.28
6,WAPPO,44,Combo WAPPO XL.40
7,HIPER WAPPO,45,Combo HIPER M.18
7,HIPER WAPPO,46,Combo HIPER L.28
7,HIPER WAPPO,47,Combo HIPER XL.40
8,WAPPO SELEC,48,Combo SELECT M.18
8,WAPPO SELEC,49,Combo SELECT L.28
8,WAPPO SELEC,50,Combo SELECT XL.40
9,VEGGIE WAPPO,54,Combo VEGGIE M.18
9,VEGGIE WAPPO,55,Combo VEGGIE L.28
9,VEGGIE WAPPO,56,Combo VEGGIE XL.40
10,WAPPO PINK,51,Combo PINK M.18
10,WAPPO PINK,52,Combo PINK L.28
10,WAPPO PINK,53,Combo PINK XL.40
11,EXTRAS,65,Extra Palito
11,EXTRAS,66,Extra Soja
11,EXTRAS,67,Blister Salsa Teriyaki
11,EXTRAS,68,Blister Salsa Teriyaki  ahumad
11,EXTRAS,69,Blister  Salsa  Buenos Aires
11,EXTRAS,70,Roll Anticuchero
11,EXTRAS,93,Extra de Wasabi
11,EXTRAS,94,Extra de Jengibre
